Acronym,Class I Area,Jan,Feb,Mar ,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
sagu,Saguaro NP,2.24,2,1.69,1.21,1.2,1.08,1.67,2.13,1.86,1.65,1.89,2.44
stma,Saint Marks Wilderness,4.18,3.89,3.82,3.76,3.85,4.3,4.49,4.54,4.39,4.19,4.15,4.3
sacr,Salt Creek Wilderness,2.72,2.37,1.88,1.77,1.96,1.87,2.15,2.44,2.59,2.12,2.26,2.56
saga,San Gabriel Wilderness,3.12,3.04,3.04,2.77,2.78,2.69,2.69,2.77,2.79,2.74,2.59,2.79
sago,San Gorgonio Wilderness,2.97,3.06,2.93,2.6,2.63,2.28,2.13,2.3,2.31,2.24,2.25,2.55
saja,San Jacinto Wilderness,2.92,2.91,2.91,2.67,2.69,2.55,2.33,2.64,2.64,2.57,2.4,2.6
sape,San Pedro Parks Wilderness,3,2.71,2.25,1.94,1.91,1.66,2.04,2.45,2.33,2.05,2.57,2.88
sara,San Rafael Wilderness,3.49,3.35,3.34,3,2.99,2.9,2.97,3.04,3.09,3,2.86,3.12
sawt,Sawtooth Wilderness,4.05,3.53,2.89,2.53,2.44,2.18,1.66,1.61,1.76,2.38,3.55,4
scap,Scapegoat Wilderness,3.97,3.57,3.27,3.04,3.01,2.96,2.6,2.51,2.83,3.3,3.86,3.93
selw,Selway-Bitterroot Wilderness,4.2,3.71,3.21,2.86,2.8,2.66,2.18,2.09,2.39,3.06,3.96,4.2
sene,Seney Wilderness,4.05,3.6,3.6,3.3,3.2,3.58,3.91,4.28,4.3,4,4.19,4.16
sequ,Sequoia NP,3.27,3.07,3.1,2.84,2.66,2.21,2.06,2.05,2.21,2.35,2.75,2.93
shen,Shenandoah NP,3.44,3.17,3.17,2.9,3.42,3.66,3.78,3.97,3.98,3.56,3.28,3.62
shro,Shining Rock Wilderness,3.9,3.55,3.43,3.21,3.82,4.22,4.28,4.48,4.48,4.06,3.76,3.92
sian,Sierra Ancha Wilderness,2.62,2.42,2.02,1.53,1.42,1.22,1.73,2.14,1.95,1.81,2.15,2.62
sime,Simeonof Wilderness,4.83,4.85,4.54,4.68,4.83,5.2,5.57,5.72,5.11,4.48,4.62,4.89
sips,Sipsey Wilderness,3.94,3.6,3.36,3.28,3.72,4.06,4.18,4.14,4.13,3.91,3.74,3.96
sowa,South Warner Wilderness,4.32,3.75,3.31,2.94,2.77,2.51,2.13,2.15,2.31,2.83,3.71,4.19
stmo,Strawberry Mountain Wilderness,4.97,4.37,3.77,3.44,3.28,2.88,2.41,2.38,2.73,3.77,4.82,5.1
supe,Superstition Wilderness,2.49,2.27,1.92,1.44,1.34,1.17,1.64,1.98,1.82,1.69,2.01,2.49
swan,Swanquarter Wilderness,3.52,3.3,3.25,3.09,3.42,3.71,3.88,3.96,3.83,3.67,3.43,3.55
syca,Sycamore Canyon Wilderness,2.78,2.62,2.22,1.68,1.55,1.27,1.67,2.17,2,1.9,2.25,2.69
teto,Teton Wilderness,3.26,3.04,2.83,2.61,2.59,2.27,1.93,1.83,2.14,2.5,3.07,3.21
thro,Theodore Roosevelt NP,3.67,3.56,3.51,2.93,2.97,3.09,2.96,2.72,2.72,2.93,3.75,3.78
thla,Thousand Lakes Wilderness,4.27,3.7,3.38,2.99,2.82,2.52,2.37,2.42,2.53,2.82,3.62,4.08
thsi,Three Sisters Wilderness,5.53,4.97,4.74,4.63,4.2,3.89,3.35,3.31,3.65,4.7,5.53,5.56
tuxe,Tuxedni Wilderness,4.28,4.06,3.53,3.46,3.44,3.64,4.26,4.56,4.51,4.17,4.17,4.37
ulbe,UL Bend Wilderness,3.44,3.22,3.12,2.79,2.7,2.67,2.42,2.18,2.35,2.77,3.34,3.4
upbu,Upper Buffalo Wilderness,3.85,3.47,3.23,3.27,3.72,3.78,3.69,3.7,3.84,3.64,3.67,3.86
vent,Ventana Wilderness,3.91,3.76,3.7,3.08,2.93,2.69,2.69,2.75,2.8,2.87,3.06,3.48
viis,Virgin Islands NP,3.17,3.12,3.04,3.15,3.19,3.17,3.18,3.31,3.3,3.36,3.39,3.28
voya,Voyageurs NP,3.69,3.31,3.2,2.9,2.89,3.46,3.55,3.71,3.87,3.42,3.83,3.8
wash,Washakie Wilderness,3.18,2.98,2.83,2.64,2.62,2.31,1.96,1.85,2.15,2.5,3.04,3.14
wemi,Weminuche Wilderness,3.08,2.85,2.39,2.11,2.09,1.77,2.05,2.46,2.36,2.12,2.69,2.95
weel,West Elk Wilderness,3,2.87,2.49,2.36,2.33,1.94,2.1,2.44,2.43,2.2,2.72,2.89
whpe,Wheeler Peak Wilderness,3,2.76,2.35,2.11,2.15,1.92,2.17,2.63,2.52,2.18,2.71,2.93
whmo,White Mountain Wilderness,2.71,2.37,1.89,1.68,1.76,1.66,2.14,2.46,2.49,2.02,2.25,2.63
wich,Wichita Mountains Wilderness,3.35,3.12,2.91,2.94,3.4,3.21,2.84,3.01,3.32,3.1,3.2,3.4
wica,Wind Cave NP,3.25,3.2,3.13,3.01,3.22,3.06,2.75,2.68,2.63,2.75,3.28,3.24
wolf,Wolf Island Wilderness,4.03,3.74,3.66,3.55,3.72,4.2,4.2,4.46,4.42,4.22,4.08,4.15
yell,Yellowstone NP,3.29,3.05,2.87,2.66,2.65,2.39,2.05,1.93,2.21,2.59,3.14,3.25
yobo,Yolla Bolly-Middle Eel Wilderness,4.38,3.89,3.66,3.31,3.18,2.92,2.89,2.94,3,3.2,3.84,4.19
yose,Yosemite NP,3.58,3.38,3.23,2.71,2.54,2.08,1.84,1.79,1.93,2.18,2.78,3.25
zion,Zion NP,3.26,3.03,2.44,1.96,1.78,1.44,1.41,1.66,1.67,1.88,2.48,2.98
