!Land Use Parameters by Season (spring,summer,autumn,winter)
num_cat= 28
num_sup= 5
super_class= 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 2 3 4 2 3 2 4 4 1 2 2 2 
Roughness (m)    
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 27=Missing 
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 28=Unclassified 
   1.5e+0    1.5e+0    1.5e+0    1.5e+0   ! 1001=Urban Superclass 
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 1002=Grassland Superclass
   3.0e+0    3.5e+0    3.0e+0    2.0e+0   ! 1003=Forest Superclass  
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 1004=Desert Superclass 
   0.0e+0    0.0e+0    0.0e+0    0.0e+0   ! 1005=Water Superclass 
Albedo        
   1.6e-1    1.6e-1    1.6e-1    1.6e-1   !  1=Developed 
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   !  2=Dry Cropland & Pasture
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   !  3=Irrigated Cropland 
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   !  4=Missing 
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   !  5=Cropland/Grassland 
   1.5e-1    1.5e-1    1.5e-1    1.5e-1   !  6=Cropland/Woodland 
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   !  7=Grassland 
   1.4e-1    1.4e-1    1.4e-1    1.4e-1   !  8=Shrubland 
   1.6e-1    1.6e-1    1.6e-1    1.6e-1   !  9=Shrubland/Grassland
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   ! 10=Savanna 
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 11=Deciduous Broadleaf Forest 
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 12=Deciduous Needleleaf Forest 
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 13=Evergreen Broadleaf Forest 
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 14=Evergreen Needleleaf Forest 
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 15=Mixed Forest 
   1.2e-1    1.2e-1    1.2e-1    2.0e-1   ! 16=Water 
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 17=Herbaceous Wetland 
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 18=Wooded Wetland 
   3.0e-1    3.0e-1    3.0e-1    3.0e-1   ! 19=Barren 
   1.8e-1    1.8e-1    1.8e-1    5.0e-1   ! 20=Herbaceous Tundra 
   1.2e-1    1.2e-1    1.2e-1    3.0e-1   ! 21=Wooded Tundra 
   1.5e-1    1.5e-1    1.5e-1    4.0e-1   ! 22=Mixed Tundra 
   3.0e-1    3.0e-1    3.0e-1    5.0e-1   ! 23=Bare Tundra 
   6.0e-1    6.0e-1    6.0e-1    6.0e-1   ! 24=Snow or Ice 
   1.6e-1    1.6e-1    1.6e-1    1.6e-1   ! 25=Partly Developed 
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   ! 26=Not Used 
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   ! 27=Not Used 
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   ! 28=Unclassified 
   1.6e-1    1.6e-1    1.6e-1    1.6e-1   ! 1001=Urban Superclass
   1.8e-1    1.8e-1    1.8e-1    1.8e-1   ! 1002=Grassland Superclass
   1.2e-1    1.2e-1    1.2e-1    1.2e-1   ! 1003=Forest Superclass  
   3.0e-1    3.0e-1    3.0e-1    3.0e-1   ! 1004=Desert Superclass 
   1.2e-1    1.2e-1    1.2e-1    2.0e-1   ! 1005=Water Superclass 
Bowen Ratio - Dry        
   2.0e+0    4.0e+0    4.0e+0    2.0e+0   !  1=Developed 
   2.0e+0    3.0e+0    3.0e+0    3.0e+0   !  2=Dry Cropland & Pasture
   7.0e-1    7.0e-1    7.0e-1    1.5e+0   !  3=Irrigated Cropland 
   1.0e+0    2.0e+0    2.0e+0    2.0e+0   !  4=Missing 
   1.0e+0    1.5e+0    2.0e+0    2.0e+0   !  5=Cropland/Grassland 
   1.0e+0    1.0e+0    1.5e+0    2.0e+0   !  6=Cropland/Woodland 
   1.0e+0    2.0e+0    2.0e+0    2.0e+0   !  7=Grassland 
   1.0e+0    1.0e+0    1.5e+0    2.0e+0   !  8=Shrubland 
   1.0e+0    1.5e+0    1.8e+0    2.0e+0   !  9=Shrubland/Grassland
   1.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 10=Savanna 
   1.5e+0    6.0e-1    1.5e+0    2.0e+0   ! 11=Deciduous Broadleaf Forest 
   1.5e+0    6.0e-1    1.5e+0    2.0e+0   ! 12=Deciduous Needleleaf Forest 
   1.5e+0    6.0e-1    1.5e+0    2.0e+0   ! 13=Evergreen Broadleaf Forest 
   1.5e+0    6.0e-1    1.5e+0    2.0e+0   ! 14=Evergreen Needleleaf Forest 
   1.5e+0    6.0e-1    1.5e+0    2.0e+0   ! 15=Mixed Forest 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 16=Water 
   2.0e-1    2.0e-1    2.0e-1    2.0e-1   ! 17=Herbaceous Wetland 
   4.0e-1    4.0e-1    4.0e-1    4.0e-1   ! 18=Wooded Wetland 
   5.0e+0    6.0e+0    1.0e+1    1.0e+1   ! 19=Barren 
   6.0e-1    6.0e-1    6.0e-1    2.0e+0   ! 20=Herbaceous Tundra 
   8.0e-1    8.0e-1    8.0e-1    2.0e+0   ! 21=Wooded Tundra 
   7.0e-1    7.0e-1    7.0e-1    2.0e+0   ! 22=Mixed Tundra 
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 23=Bare Tundra 
   2.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 24=Snow or Ice 
   2.0e+0    4.0e+0    4.0e+0    2.0e+0   ! 25=Partly Developed 
   1.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 26=Not Used 
